"id","code","name","account_type","reconcile","currency_id"
"cross_account_1020799","1.02.07.99","(-) AMORTIZACIÓN ACUMULADA","asset_non_current",,
"cross_account_2010101","2.01.01.01","PROVEEDORES LOCALES","liability_payable","True",
"cross_account_2010102","2.01.01.02","PROVEEDORES DEL EXTERIOR","liability_current","True",
"cross_account_2010103","2.01.01.03","INTERESES A PAGAR A PROVEEDORES","liability_current","True",
"cross_account_2010104","2.01.01.04","OTROS ACREEDORES","liability_current","True",
"cross_account_2010201","2.01.02.01","PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS","liability_current","True",
"cross_account_2010202","2.01.02.02","PRÉSTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS","liability_current","True",
"cross_account_2010203","2.01.02.03","ARRENDAMIENTOS FINANCIEROS","liability_current","True",
"cross_account_2010204","2.01.02.04","OTROS PRÉSTAMOS A PAGAR","liability_current","True",
"cross_account_2010205","2.01.02.05","INTERESES A PAGAR","liability_current","True",
"cross_account_2010301","2.01.03.01","DEUDAS FISCALES CORRIENTES","liability_current","True",
"cross_account_201030101","2.01.03.01.01","IMPUESTO A LA RENTA A PAGAR","liability_current","True",
"cross_account_201030102","2.01.03.01.02","IVA A PAGAR","liability_current","True",
"cross_account_201030103","2.01.03.01.03","RETENCIONES DE IMPUESTOS A INGRESAR","liability_current","True",
"cross_account_2010302","2.01.03.02","OBLIGACIONES LABORALES Y CARGAS SOCIALES","liability_current","True",
"cross_account_2010303","2.01.03.03","DIVIDENDOS A PAGAR","liability_current","True",
"cross_account_2010304","2.01.03.04","PASIVOS FIDUCIARIOS","liability_current","True",
"cross_account_2010401","2.01.04.01","OBLIGACIONES POR GARANTÍAS OTORGADAS","liability_current","True",
"cross_account_2010402","2.01.04.02","OBLIGACIONES LEGALES POR LITIGIOS","liability_current","True",
"cross_account_2010403","2.01.04.03","PROVISIÓN PARA BENEFICIOS A EMPLEADOS","liability_current","True",
"cross_account_2010501","2.01.05.01","ANTICIPOS DE CLIENTES","liability_current",,
"cross_account_2010502","2.01.05.02","SUBVENCIONES","liability_current",,
"cross_account_2010503","2.01.05.03","DERECHOS DE FIDELIZACIÓN DE CLIENTES","liability_current",,
"cross_account_2010504","2.01.05.04","ALQUILERES COBRADOS POR ADELANTADO","liability_current",,
"cross_account_2020101","2.02.01.01","PROVEEDORES LOCALES","liability_payable","True",
"cross_account_2020102","2.02.01.02","PROVEEDORES DEL EXTERIOR","liability_payable","True",
"cross_account_2020103","2.02.01.03","INTERESES A PAGAR A PROVEEDORES","liability_payable","True",
"cross_account_2020104","2.02.01.04","OTROS ACREEDORES","liability_payable","True",
"cross_account_2020201","2.02.02.01","PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS","liability_payable","True",
"cross_account_2020202","2.02.02.02","PRÉSTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS","liability_payable","True",
"cross_account_2020203","2.02.02.03","ARRENDAMIENTOS FINANCIEROS","liability_payable",,
"cross_account_2020204","2.02.02.04","OTROS PRÉSTAMOS","liability_payable","True",
"cross_account_2020205","2.02.02.05","INTERESES A PAGAR","liability_payable","True",
"cross_account_2020301","2.02.03.01","PASIVOS POR IMPUESTOS DIFERIDOS","liability_payable",,
"cross_account_2020302","2.02.03.02","PASIVOS FIDUCIARIOS","liability_payable",,
"cross_account_2020401","2.02.04.01","OBLIGACIONES POR GARANTÍAS OTORGADAS","liability_payable",,
"cross_account_2020402","2.02.04.02","OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES","liability_payable",,
"cross_account_2020403","2.02.04.03","PROVISIONES PARA BENEFICIOS A EMPLEADOS","liability_payable",,
"cross_account_2020501","2.02.05.01","ANTICIPOS DE CLIENTES","liability_payable",,
"cross_account_2020502","2.02.05.02","SUBVENCIONES","liability_payable",,
"cross_account_2020503","2.02.05.03","DERECHO DE FIDELIZACIÓN DE CLIENTES","liability_payable",,
"cross_account_2020504","2.02.05.04","ALQUILERES COBRADOS POR ADELANTADO","liability_payable",,
"cross_account_30101","3.01.01","CAPITAL INTEGRADO","liability_non_current",,
"cross_account_3010101","3.01.01.01","CAPITAL SUSCRIPTO","liability_non_current",,
"cross_account_3010102","3.01.01.02","(-) CAPITAL A INTEGRAR","liability_non_current",,
"cross_account_30201","3.02.01","RESERVA LEGAL","liability_non_current",,
"cross_account_30202","3.02.02","RESERVA DE REVALÚO","liability_non_current",,
"cross_account_3020201","3.02.02.01","RESERVA DE REVALÚO FISCAL","liability_non_current",,
"cross_account_3020202","3.02.02.02","RESERVA DE REVALÚO TÉCNICO","liability_non_current",,
"cross_account_30203","3.02.03","OTRAS RESERVAS","liability_non_current",,
"cross_account_30301","3.03.01","RESULTADOS ACUMULADOS","equity",,
"cross_account_30302","3.03.02","RESULTADO DEL EJERCICIO","equity",,
"cross_account_401","4.01","VENTAS DE MERCADERÍAS","income",,
"cross_account_40101","4.01.01","VENTAS DE MERCADERÍAS GRAVADAS POR EL IVA","income",,
"cross_account_40102","4.01.02","VENTAS DE MERCADERÍAS EXENTAS DEL IVA","income",,
"cross_account_402","4.02","VENTAS DE PRODUCTOS AGRÍCOLAS","income",,
"cross_account_40201","4.02.01","VENTAS DE SOJA Y SUS DERIVADOS ","income",,
"cross_account_40202","4.02.02","VENTAS DE MAÍZ","income",,
"cross_account_40203","4.02.03","VENTAS DE TRIGO","income",,
"cross_account_40204","4.02.04","OTROS PRODUCTOS AGRÍCOLAS","income",,
